,Error,Method,Overlap ($\epsilon_t$),Overlap (Standardized Difference of Means),n
0,87.6009735631597,MALTS,0.001,1.5767679342349081,500
1,48.1059314800365,MALTS,0.001,1.5806081031612322,500
2,166.85706559225167,MALTS,0.001,1.5937896837894516,500
3,53.734485845262945,MALTS,0.001,1.5980129717130125,500
4,234.85930232955587,MALTS,0.001,1.582035568408185,500
5,125.25101933576025,MALTS,0.001,1.6107774693021097,500
6,44.46485994327723,MALTS,0.001,1.6056521752917299,500
7,250.21054913732354,MALTS,0.001,1.6069267247192913,500
8,217.9847145708405,MALTS,0.001,1.594420900861573,500
9,139.65082967478153,MALTS,0.001,1.602806604831942,500
10,76.34340626085594,MALTS,0.001,1.5896678480495265,500
11,74.85053085559949,MALTS,0.001,1.602474838613723,500
12,165.19000905656006,MALTS,0.001,1.6114971207795123,500
13,6.9518489946454025,MALTS,0.001,1.5910463372254005,500
14,74.89688450657862,MALTS,0.001,1.584267666739727,500
15,170.39809226961992,MALTS,0.001,1.5809189693405734,500
16,264.8750311029987,MALTS,0.001,1.5973820333869322,500
17,148.1055334132168,MALTS,0.001,1.590468065981828,500
18,160.18817350101108,MALTS,0.001,1.575761118580242,500
19,246.57768778998596,MALTS,0.001,1.5972919542627646,500
20,14.60817331122874,MALTS,0.001,1.6055814736299767,500
21,162.1045975466562,MALTS,0.001,1.6111492618945713,500
22,122.57313831181355,MALTS,0.001,1.5751876125125648,500
23,104.21135587994743,MALTS,0.001,1.5974625713292003,500
24,209.77043017644385,MALTS,0.001,1.59037341254875,500
25,134.93982667147299,MALTS,0.001,1.5855585781194903,500
26,136.9621424735163,MALTS,0.001,1.6066173991567099,500
27,141.63745565032283,MALTS,0.001,1.5883269202672243,500
28,104.79142725224622,MALTS,0.001,1.5927014603268097,500
29,124.11373780887143,MALTS,0.001,1.5921607844344163,500
30,237.1611022189083,MALTS,0.001,1.5950587004452526,500
31,5.059917254244084,MALTS,0.001,1.5748975675203056,500
32,136.91029114511895,MALTS,0.001,1.5967954318088884,500
